"wincol","name","strikes","takedowns","subattempts","pospass","weightclass","result","round","time"
"1","MATT MITRIONE","12","0","0","0","Heavyweight","KO/TKO","1","1:59"
"0","GABRIEL GONZAGA","6","0","0","0","Heavyweight","KO/TKO","1","1:59"
"1","JOANNA JEDRZEJCZYK","38","0","0","0","Women's Strawweight","S-DEC","3","5:00"
"0","CLAUDIA GADELHA","27","7","1","2","Women's Strawweight","S-DEC","3","5:00"
"1","JOHN MORAGA","56","1","1","3","Flyweight","SUB","3","4:06"
"0","WILLIE GATES","22","0","1","1","Flyweight","SUB","3","4:06"
"1","BEN SAUNDERS","4","0","0","0","Welterweight","SUB","1","0:57"
"0","JOE RIGGS","2","1","0","0","Welterweight","SUB","1","0:57"
"1","DREW DOBER","5","0","1","2","Lightweight","SUB","1","1:52"
"0","JAMIE VARNER","4","0","0","0","Lightweight","SUB","1","1:52"
"1","BRYAN BARBERENA","63","0","0","0","Lightweight","KO/TKO","3","3:24"
"0","JOE ELLENBERGER","24","3","0","0","Lightweight","KO/TKO","3","3:24"
"1","DAVID MICHAUD","77","4","0","4","Lightweight","U-DEC","3","5:00"
"0","GARETT WHITELEY","75","0","0","0","Lightweight","U-DEC","3","5:00"
"1","HENRY CEJUDO","72","0","0","0","Bantamweight","U-DEC","3","5:00"
"0","DUSTIN KIMURA","25","0","0","0","Bantamweight","U-DEC","3","5:00"
"1","IAN ENTWISTLE","0","0","3","0","Bantamweight","SUB","1","1:04"
"0","ANTHONY BIRCHAK","4","1","0","0","Bantamweight","SUB","1","1:04"
"1","CARLA ESPARZA","42","5","1","6","Women's Strawweight","SUB","3","1:26"
"0","ROSE NAMAJUNAS","28","1","0","0","Women's Strawweight","SUB","3","1:26"
"1","CHARLES OLIVEIRA","43","2","3","4","Featherweight","U-DEC","3","5:00"
"0","JEREMY STEPHENS","48","0","0","0","Featherweight","U-DEC","3","5:00"
"1","ROBBIE LAWLER","116","0","0","0","Welterweight","S-DEC","5","5:00"
"0","JOHNY HENDRICKS","111","5","1","1","Welterweight","S-DEC","5","5:00"
"1","ANTHONY PETTIS","30","0","1","1","Lightweight","SUB","2","1:53"
"0","GILBERT MELENDEZ","27","1","0","0","Lightweight","SUB","2","1:53"
"1","TRAVIS BROWNE","25","1","0","5","Heavyweight","KO/TKO","1","4:50"
"0","BRENDAN SCHAUB","5","1","0","0","Heavyweight","KO/TKO","1","4:50"
"1","TODD DUFFEE","8","0","0","0","Heavyweight","KO/TKO","1","0:33"
"0","ANTHONY HAMILTON","2","0","0","0","Heavyweight","KO/TKO","1","0:33"
"1","TONY FERGUSON","20","1","1","1","Lightweight","SUB","2","4:19"
"0","ABEL TRUJILLO","15","2","0","0","Lightweight","SUB","2","4:19"
"1","URIJAH FABER","19","0","1","0","Bantamweight","SUB","2","1:34"
"0","FRANCISCO RIVERA","15","0","0","0","Bantamweight","SUB","2","1:34"
"1","JOSH SAMMAN","11","1","0","0","Middleweight","KO/TKO","2","3:08"
"0","EDDIE GORDON","8","2","0","1","Middleweight","KO/TKO","2","3:08"
"1","COREY ANDERSON","45","7","0","3","Light Heavyweight","U-DEC","3","5:00"
"0","JUSTIN JONES","28","0","1","0","Light Heavyweight","U-DEC","3","5:00"
"1","RAQUEL PENNINGTON","5","1","1","0","Women's Bantamweight","SUB","1","4:59"
"0","ASHLEE EVANS-SMITH","11","1","0","1","Women's Bantamweight","SUB","1","4:59"
"1","SERGIO PETTIS","78","0","2","0","Bantamweight","U-DEC","3","5:00"
"0","MATT HOBAR","36","2","0","2","Bantamweight","U-DEC","3","5:00"
"1","CLAY COLLARD","60","3","2","0","Featherweight","U-DEC","3","5:00"
"0","ALEX WHITE","58","1","1","1","Featherweight","U-DEC","3","5:00"
"1","FRANKIE EDGAR","93","7","2","16","Featherweight","SUB","5","4:56"
"0","CUB SWANSON","31","0","0","0","Featherweight","SUB","5","4:56"
"1","EDSON BARBOZA","54","0","0","0","Lightweight","U-DEC","3","5:00"
"0","BOBBY GREEN","50","0","0","0","Lightweight","U-DEC","3","5:00"
"1","CHICO CAMUS","71","1","0","0","Flyweight","S-DEC","3","5:00"
"0","BRAD PICKETT","53","2","0","1","Flyweight","S-DEC","3","5:00"
"1","ALEKSEI OLEINIK","13","0","0","0","Heavyweight","KO/TKO","1","3:21"
"0","JARED ROSHOLT","19","0","0","0","Heavyweight","KO/TKO","1","3:21"
"1","JOSEPH BENAVIDEZ","94","2","0","2","Flyweight","U-DEC","3","5:00"
"0","DUSTIN ORTIZ","37","2","0","0","Flyweight","U-DEC","3","5:00"
"1","MATT WIMAN","68","0","0","3","Lightweight","U-DEC","3","5:00"
"0","ISAAC VALLIE-FLAGG","80","0","0","0","Lightweight","U-DEC","3","5:00"
"1","RUSLAN MAGOMEDOV","63","1","0","0","Heavyweight","U-DEC","3","5:00"
"0","JOSH COPELAND","20","0","0","0","Heavyweight","U-DEC","3","5:00"
"1","ROGER NARVAEZ","48","0","2","2","Middleweight","S-DEC","3","5:00"
"0","LUKE BARNATT","34","0","0","0","Middleweight","S-DEC","3","5:00"
"1","JAMES VICK","40","0","0","0","Lightweight","U-DEC","3","5:00"
"0","NICK HEIN","25","0","0","1","Lightweight","U-DEC","3","5:00"
"1","AKBARH ARREOLA","12","1","1","3","Lightweight","SUB","1","1:52"
"0","YVES EDWARDS","5","0","0","0","Lightweight","SUB","1","1:52"
"1","PAIGE VANZANT","61","3","3","0","Women's Strawweight","KO/TKO","3","2:54"
"0","KAILIN CURRAN","28","5","0","4","Women's Strawweight","KO/TKO","3","2:54"
"1","DOOHO CHOI","10","0","0","0","Featherweight","KO/TKO","1","0:18"
"0","JUAN PUIG","0","0","0","0","Featherweight","KO/TKO","1","0:18"
"1","FABRICIO WERDUM","21","0","0","0","Heavyweight","KO/TKO","2","2:27"
"0","MARK HUNT","10","1","0","1","Heavyweight","KO/TKO","2","2:27"
"1","KELVIN GASTELUM","16","1","1","1","Welterweight","SUB","1","4:46"
"0","JAKE ELLENBERGER","10","1","0","0","Welterweight","SUB","1","4:46"
"1","RICARDO LAMAS","14","0","1","1","Featherweight","SUB","1","3:18"
"0","DENNIS BERMUDEZ","8","0","0","0","Featherweight","SUB","1","3:18"
"1","AUGUSTO MONTANO","30","0","0","0","Welterweight","KO/TKO","1","4:50"
"0","CHRIS HEATHERLY","8","1","0","2","Welterweight","KO/TKO","1","4:50"
"1","HECTOR URBINA","4","0","2","1","Welterweight","SUB","1","3:38"
"0","EDGAR GARCIA","12","2","0","1","Welterweight","SUB","1","3:38"
"1","YAIR RODRIGUEZ","34","2","5","3","Featherweight","U-DEC","3","5:00"
"0","LEONARDO MORALES","33","0","0","0","Featherweight","U-DEC","3","5:00"
"1","ALEJANDRO PEREZ","38","1","1","1","Bantamweight","U-DEC","3","5:00"
"0","JOSE QUINONEZ","38","3","2","3","Bantamweight","U-DEC","3","5:00"
"1","JESSICA EYE","80","0","0","0","Women's Bantamweight","KO/TKO","2","1:30"
"0","LESLIE SMITH","28","0","0","0","Women's Bantamweight","KO/TKO","2","1:30"
"1","GABRIEL BENITEZ","23","0","5","0","Featherweight","SUB","3","0:30"
"0","HUMBERTO BROWN","18","1","0","1","Featherweight","SUB","3","0:30"
"1","HENRY BRIONES","32","0","1","1","Bantamweight","SUB","2","1:44"
"0","GUIDO CANNETTI","35","1","0","1","Bantamweight","SUB","2","1:44"
"1","MARCO BELTRAN","31","1","0","2","Bantamweight","U-DEC","3","5:00"
"0","MARLON VERA","25","1","2","7","Bantamweight","U-DEC","3","5:00"
"1","OVINCE SAINT PREUX","9","0","0","0","Light Heavyweight","KO/TKO","1","0:34"
"0","MAURICIO RUA","2","0","0","0","Light Heavyweight","KO/TKO","1","0:34"
"1","WARLLEY ALVES","47","1","1","1","Welterweight","U-DEC","3","5:00"
"0","ALAN JOUBAN","79","0","0","0","Welterweight","U-DEC","3","5:00"
"1","CLAUDIO SILVA","34","3","1","8","Welterweight","S-DEC","3","5:00"
"0","LEON EDWARDS","33","0","0","1","Welterweight","S-DEC","3","5:00"
"1","DHIEGO LIMA","70","6","4","9","Welterweight","U-DEC","3","5:00"
"0","JORGE DE OLIVEIRA","23","0","0","0","Welterweight","U-DEC","3","5:00"
"1","JULIANA LIMA","21","1","0","0","Women's Strawweight","U-DEC","3","5:00"
"0","NINA ANSAROFF","23","0","2","0","Women's Strawweight","U-DEC","3","5:00"
"1","DIEGO RIVAS","15","2","0","6","Featherweight","U-DEC","3","5:00"
"0","RODOLFO RUBIO","17","2","0","6","Featherweight","U-DEC","3","5:00"
"1","CAIO MAGALHAES","9","0","0","0","Middleweight","KO/TKO","1","0:31"
"0","TREVOR SMITH","2","0","0","0","Middleweight","KO/TKO","1","0:31"
"1","LEANDRO SILVA","4","1","1","2","Lightweight","SUB","1","4:15"
"0","CHARLIE BRENNEMAN","4","3","0","1","Lightweight","SUB","1","4:15"
"1","THOMAS ALMEIDA","120","0","0","0","Bantamweight","U-DEC","3","5:00"
"0","TIM GORMAN","67","2","0","1","Bantamweight","U-DEC","3","5:00"
